region_of_origin,Country_Description,Latitude,Longitude
AFGH ASIA CASIAZ,Afghanistan,33.93911,67.709953
AFRICA,Africa,33.93911,67.709953
AFRICA ALG MEDZ NAFR,Algeria,28.033886,1.659626
AFRICA ANGOL SOUAFR,Angola,-11.202692,17.873887
ARG LAMZ SAMZ,Argentina,-38.416097,-63.616672
ARMEN ASIA USSRZ WASIAZ,Armenia,40.069099,45.038189
AUSNZ AUSTR,Australia,-25.274398,133.775136
AUST EUR WEURZ,Austria,47.516231,14.550072
ASIA AZERB USSRZ WASIAZ,Azerbaijan,40.143105,47.576927
BAH CARIBZ,Bahamas,25.03428,-77.39628
ASIA BAHRN DEVGCOZ GULFST MEASTZ WASIAZ,Bahrain,25.930414,50.637772
ASIA BAHRN GULFST MEASTZ WASIAZ,Bahrain,25.930414,50.637772
ASIA BANDH SASIAZ,Bangladesh,23.684994,90.356331
BYELRS EEURZ EUR USSRZ,Belarus,53.709807,27.953389
BELG EUR WEURZ,Belgium,50.503887,4.469936
AFRICA BENIN WAFR,Benin,9.30769,2.315834
BERM NAMZ,Bermuda,32.321384,-64.75737
BOL LAMZ SAMZ,Bolivia,-16.290154,-63.588653
AFRICA BOTS SOUAFR,Botswana,-22.328474,24.684866
BRAZ LAMZ SAMZ,Brazil,-14.235004,-51.92528
ASIA BRUNEI SEASIAZ,Brunei,4.535277,114.727669
BUL EEURZ EUR,Bulgaria,42.733883,25.48583
ASIA BURMA SEASIAZ,Burma,12.238333,-1.561593
ASIA KAMPA SEASIAZ,Cambodia,12.565679,104.990963
AFRICA CAMER CEAFR,Cameroon,7.369722,12.354722
CANA NAMZ,Canada,56.130366,-106.346771
AFRICA CVI WAFR,Cape Verde,16.002082,-24.013197
CARIBZ CAYI,Cayman Islands,19.513469,-80.566956
AFRICA CAFR CEAFR,Central African Republic,6.611111,20.939444
AFRICA CEAFR CHAD,Chad,15.454166,18.732207
CHIL LAMZ SAMZ,Chile,-35.675147,-71.542969
ASIA CHINA CHINAZ EASIA,China,35.86166,104.195397
ASIA CHINA EASIA,China,35.86166,104.195397
COL LAMZ SAMZ,Colombia,4.570868,-74.297333
AFRICA CEAFR ZAIRE,Congo [DRC],-4.038333,21.758664
AFRICA CEAFR CONGO,Congo [Republic],-0.228021,15.827659
CAMZ COSR LAMZ,Costa Rica,9.748917,-83.753428
CRTIA EEURZ EUR MEDZ,Croatia,45.1,15.2
ASIA CYPR MEASTZ MEDZ WASIAZ,Cyprus,35.126413,33.429859
CZREP EEURZ EUR,Czech Republic,49.817492,15.472962
AFRICA ICST WAFR,C™te d'Ivoire,7.539989,-5.54708
DEN EUR NORDZ SCANDZ,Denmark,56.26392,9.501785
ECU LAMZ SAMZ,Ecuador,-1.831239,-78.183406
AFRICA EGYPT MEASTZ MEDZ NAFR,Egypt,26.820553,30.802498
CAMZ ELSAL LAMZ,El Salvador,13.794185,-88.89653
BALST EEURZ ESTNIA EUR,Estonia,58.595272,25.013607
AFRICA EAFR ETHPA,Ethiopia,9.145,40.489673
AUSNZ FIJI PACISZ,Fiji,-16.578193,179.414413
EUR FIN NORDZ SCANDZ,Finland,61.92411,25.748151
EUR FIN NORDZ,Finland,61.92411,25.748151
EUR FRA MEDZ WEURZ,France,46.227638,2.213749
AFRICA CEAFR GABON,Gabon,-0.803689,11.609444
AFRICA GAMB WAFR,Gambia,13.443182,-15.310139
ASIA GRGIA SOSSRT WASIAZ,Georgia,42.315407,43.356892
ASIA GRGIA USSRZ WASIAZ,Georgia,42.315407,43.356892
ASIA GRGIA WASIAZ,Georgia,42.315407,43.356892
EEURZ EUR GFR WEURZ,Germany,51.165691,10.451526
EUR GFR WEURZ,Germany,51.165691,10.451526
AFRICA GHANA WAFR,Ghana,7.946527,-1.023194
EUR GREECE MEDZ WEURZ,Greece,39.074208,21.824312
EUR GREECE MEDZ,Greece,39.074208,21.824312
CAMZ GUAT LAMZ,Guatemala,15.783471,-90.230759
AFRICA GUREP WAFR,Guinea,9.945587,-9.696645
GUY SAMZ,Guyana,4.860416,-58.93018
ASIA CHINA CHINAZ EASIA HKONG,Hong Kong,22.396428,114.109497
EEURZ EUR HUNG,Hungary,47.162494,19.503304
ASIA INDIA SASIAZ,India,20.593684,78.96288
ASIA INDIA SASIAZ SEASIAZ,India,20.593684,78.96288
ASIA DEVGCOZ INDIA INDSUB SASIAZ,India,20.593684,78.96288
ASIA INDON SEASIAZ,Indonesia,-0.789275,113.921327
ASIA GULFST IRAN MEASTZ WASIAZ,Iran,32.427908,53.688046
ASIA CASIAZ GULFST IRAN MEASTZ WASIAZ,Iran,32.427908,53.688046
ASIA CASIAZ GULFST IRAN MEASTZ,Iran,32.427908,53.688046
ASIA GULFST IRAQ MEASTZ WASIAZ,Iraq,33.223191,43.679291
EUR IRE WEURZ,Ireland,53.41291,-8.24389
ISRAEL MEASTZ MEDZ,Israel,31.046051,34.851612
ASIA ISRAEL MEASTZ MEDZ WASIAZ,Israel,31.046051,34.851612
EUR ITALY MEDZ WEURZ,Italy,41.87194,12.56738
ASIA EASIA JAP,Japan,36.204824,138.252924
ASIA JORDAN MEASTZ WASIAZ,Jordan,30.585164,36.238414
ASIA CASIAZ KAZK USSRZ,Kazakhstan,48.019573,66.923684
AFRICA EAFR KENYA,Kenya,-0.023559,37.906193
ASIA GULFST KUWAIT MEASTZ WASIAZ,Kuwait,29.31166,47.481766
ASIA CASIAZ KIRGH USSRZ,Kyrgyzstan,41.20438,74.766098
BALST EEURZ EUR LATV,Latvia,56.879635,24.603189
ASIA LEBAN MEASTZ MEDZ WASIAZ,Lebanon,33.854721,35.862285
AFRICA LIBER WAFR,Liberia,6.428055,-9.429499
AFRICA LIBYA MEASTZ MEDZ NAFR,Libya,26.3351,17.228331
BALST EEURZ EUR LITH,Lithuania,55.169438,23.881275
EUR LUX WEURZ,Luxembourg,49.815273,6.129583
ASIA CHINA CHINAZ EASIA MACAO,Macau,22.198745,113.543873
AFRICA EAFR MALAG,Madagascar,-18.766947,46.869107
ASIA MALAY SEASIAZ,Malaysia,4.210484,101.975766
AFRICA MALI WAFR,Mali,17.570692,-3.996166
EUR MALTA MEDZ WEURZ,Malta,35.937496,14.375416
AFRICA MAURTN WAFR,Mauritania,21.00789,-10.940835
AFRICA EAFR MAURTS,Mauritius,-20.348404,57.552152
LAMZ MEX NAMZ,Mexico,23.634501,-102.552784
ASIA CASIAZ MONGLA,Mongolia,46.862496,103.846656
AFRICA MEDZ MOROC NAFR,Morocco,31.791702,-7.09262
AFRICA NAMIB SOUAFR,Namibia,-22.95764,18.49041
ASIA CASIAZ NEPAL,Nepal,28.394857,84.124008
EUR NETH WEURZ,Netherlands,52.132633,5.291266
AUSNZ NZ,New Zealand,-40.900557,174.885971
AFRICA NIGER WAFR,Niger,17.607789,8.081666
AFRICA NIGEA WAFR,Nigeria,9.081999,8.675277
ASIA EASIA NKOREA,North Korea,40.339852,127.510093
EUR NORDZ NORW SCANDZ,Norway,60.472024,8.468946
ASIA GULFST MEASTZ OMAN WASIAZ,Oman,21.512583,55.923255
ASIA PAKIS SASIAZ,Pakistan,30.375321,69.345116
ASIA PAKIS SASIAZ WASIAZ,Pakistan,30.375321,69.345116
ASIA MEASTZ MEDZ PALEST WASIAZ,Palestinian Territories,31.952162,35.233154
CAMZ LAMZ PANA,Panama,8.537981,-80.782127
LAMZ PARA SAMZ,Paraguay,-23.442503,-58.443832
LAMZ PERU SAMZ,Peru,-9.189967,-75.015152
ASIA PHLNS SEASIAZ,Philippines,12.879721,121.774017
EEURZ EUR POL,Poland,51.919438,19.145136
EUR PORL WEURZ,Portugal,39.399872,-8.224454
CARIBZ LAMZ PURI,Puerto Rico,18.220833,-66.590149
ASIA GULFST MEASTZ QATAR WASIAZ,Qatar,25.354826,51.183884
EEURZ EUR ROM,Romania,45.943161,24.96676
ASIA EEURZ EUR RUSS USSRZ,Russia,61.52401,105.318756
EEURZ EUR RUSS USSRZ,Russia,61.52401,105.318756
AFRICA EAFR RWANDA,Rwanda,-1.940278,29.873888
AFRICA EAFR REUNI,RŽunion,-21.115141,55.536384
ASIA GULFST MEASTZ SAARAB WASIAZ,Saudi Arabia,23.885942,45.079162
GULFST MEASTZ SAARAB,Saudi Arabia,23.885942,45.079162
AFRICA SENEG WAFR,Senegal,14.497401,-14.452362
AFRICA EAFR SEYCH,Seychelles,-4.679574,55.491977
AFRICA SILEN WAFR,Sierra Leone,8.460555,-11.779889
ASIA SEASIAZ SINGP,Singapore,1.352083,103.819836
EEURZ EUR SLVAK,Slovakia,48.669026,19.699024
EEURZ EUR MEDZ SLVNIA,Slovenia,46.151241,14.995463
AFRICA SAFR SOUAFR,South Africa,-30.559482,22.937506
ASIA EASIA SKOREA,South Korea,35.907757,127.766922
CATAL EUR MEDZ SPAIN WEURZ,Spain,40.463667,-3.74922
EUR MEDZ SPAIN WEURZ,Spain,40.463667,-3.74922
ASIA SASIAZ SRILAN,Sri Lanka,7.873054,80.771797
AFRICA EAFR SUDAN,Sudan,12.862807,30.217636
AFRICA SOUAFR SWAZD,Swaziland,-26.522503,31.465866
EUR NORDZ SCANDZ SWED,Sweden,60.128161,18.643501
EUR MEDZ SWITZ WEURZ,Switzerland,46.818188,8.227512
EUR SWITZ WEURZ,Switzerland,46.818188,8.227512
ASIA MEASTZ MEDZ SYRIA WASIAZ,Syria,34.802075,38.996815
ASIA EASIA TAIWAN,Taiwan,23.69781,120.960515
ASIA CHINAZ EASIA TAIWAN,Taiwan,23.69781,120.960515
ASIA CASIAZ TADZK USSRZ,Tajikistan,38.861034,71.276093
AFRICA EAFR TANZA,Tanzania,-6.369028,34.888822
ASIA SEASIAZ THAIL,Thailand,15.870032,100.992541
AFRICA TOGO WAFR,Togo,8.619543,0.824782
AFRICA MEDZ NAFR TUNIS,Tunisia,33.886917,9.537499
ASIA MEASTZ MEDZ TURK WASIAZ,Turkey,38.963745,35.243322
ASIA EUR MEASTZ MEDZ TURK WASIAZ,Turkey,38.963745,35.243322
ASIA CASIAZ TURKM USSRZ,Turkmenistan,38.969719,59.556278
AFRICA EAFR UGANDA,Uganda,1.373333,32.290275
EEURZ EUR UKRN USSRZ,Ukraine,48.379433,31.16558
ASIA GULFST MEASTZ UAE WASIAZ,United Arab Emirates,23.424076,53.847818
EUR UK WEURZ,United Kingdom,55.378051,-3.435973
ASIA GRGIA NAMZ USA WASIAZ,United States,37.09024,-95.712891
NAMZ USA,United States,37.09024,-95.712891
ASIA GRGIA NAMZ USA USGA WASIAZ,United States,37.09024,-95.712891
LAMZ SAMZ URU,Uruguay,-32.522779,-55.765835
ASIA CASIAZ USSRZ UZBK,Uzbekistan,41.377491,64.585262
EUR VCAN WEURZ,Vatican,-15.376706,166.959158
LAMZ SAMZ VEN,Venezuela,6.42375,-66.58973
ASIA SEASIAZ VIETN,Vietnam,14.058324,108.277199
ASIA MEASTZ WASIAZ YEMAR,Yemen,15.552727,48.516388
AFRICA SOUAFR ZAMBIA,Zambia,-13.133897,27.849332
AFRICA SOUAFR ZIMBAB,Zimbabwe,-19.015438,29.154857
