language_code,Descriptor,Description
PT,Portuguese language content,All Portuguese language content.
ID,Bahasa Indonesia language content,All Bahasa Indonesia language content.
JA,Japanese language content,All Japanese language content.
VI,Vietnamese language content,All Vietnamese language content.
EN,English language content,All English language content.
ES,Spanish language content,All Spanish language content.
CS,Czech language content,All Czech language content.
TH,Thai language content,All Thai language content.
ZHTW,Chinese (complex) language content,All Chinese (complex) language content.
DE,German language content,All German language content.
FR,French language content,All French language content.
SV,Swedish language content,All Swedish language content.
NL,Dutch language content,All Dutch language content.
PL,Polish language content,All Polish language content.
FI,Finnish language content,All Finnish language content.
NO,Norwegian language content,All Norwegian language content.
CA,Catalan language content,All Catalan language content.
HU,Hungarian language content,All Hungarian language content.
RU,Russian language content,All Russian language content.
DA,Danish language content,All Danish language content.
MS,Bahasa Melayu language content,All Bahasa Melayu language content.
ZHCN,Chinese (simple) language content,All Chinese (simple) language content.
SK,Slovak language content,All Slovak language content.
IT,Italian language content,All Italian language content.
AR,Arabic language content,All Arabic language content.
KO,Korean language content,All Korean language content.
TR,Turkish language content,All Turkish language content.
BG,Bulgarian language content,All Bulgarian language content.
